No,M,AoA,Cl,Cd,Cp
157,0.726667,2.094016,0.672694,0.011411,-0.621916
158,0.726783,2.473326,0.742643,0.013207,-0.801126
159,0.720193,2.390236,0.715743,0.011701,-0.659367
160,0.725104,2.353533,0.717856,0.012245,-0.614399
161,0.730282,2.359415,0.726923,0.013373,-1.053649
162,0.731152,2.365002,0.728786,0.01365,-1.14009
163,0.723668,1.97237,0.644129,0.010766,-0.697249
164,0.722221,2.444011,0.729712,0.012182,-0.615312
165,0.726269,2.000766,0.654446,0.011048,-0.644937
166,0.73655,2.148938,0.696773,0.013746,-1.173716
167,0.73198,2.379317,0.732312,0.013975,-1.175358
168,0.731306,2.375807,0.731112,0.013765,-1.155466
169,0.724794,2.445214,0.734612,0.012639,-0.624521
170,0.72089,2.210985,0.683542,0.011203,-0.686882
171,0.721296,2.347949,0.709903,0.011678,-0.650093
172,0.724662,2.30384,0.708098,0.01196,-0.611015
173,0.732464,2.541753,0.760408,0.015336,-1.229073
174,0.727194,2.178675,0.689261,0.011822,-0.638661
175,0.724202,2.263258,0.699589,0.01173,-0.620529
176,0.733434,2.369777,0.732377,0.014357,-1.198122
177,0.730455,1.88173,0.639439,0.011123,-0.677883
178,0.735938,2.403694,0.738791,0.015383,-1.220197
179,0.737112,2.0681,0.683303,0.013374,-1.159475
180,0.727345,2.307793,0.713549,0.012445,-0.722693
181,0.725851,2.264718,0.702781,0.011978,-0.617941
182,0.73122,2.321594,0.721071,0.013389,-1.119057
183,0.727086,2.292817,0.710157,0.012322,-0.683117
184,0.715663,2.321439,0.693761,0.011138,-0.724927
185,0.739225,2.465472,0.751018,0.01715,-1.236936
186,0.72824,2.611342,0.768757,0.014542,-1.059303
187,0.729438,2.309285,0.716877,0.012882,-0.937673
188,0.730988,2.488896,0.750313,0.014454,-1.188593
189,0.735143,2.515815,0.757253,0.016042,-1.23917
190,0.734201,2.193528,0.702289,0.013385,-1.161389
191,0.727962,2.592202,0.765675,0.014333,-1.017058
192,0.723357,2.326858,0.709971,0.011863,-0.620641
193,0.73728,2.369049,0.734462,0.015599,-1.21772
194,0.725728,2.088141,0.669837,0.011278,-0.633524
195,0.728197,2.456142,0.741464,0.013449,-0.929427
196,0.733493,2.387141,0.734786,0.014473,-1.202279
197,0.73547,2.313178,0.723796,0.014562,-1.201687
198,0.725578,2.571217,0.758711,0.013515,-0.750875
199,0.720659,2.201441,0.681282,0.011159,-0.692646
200,0.71919,2.306064,0.697956,0.011336,-0.692532
201,0.732673,2.631507,0.77499,0.016162,-1.251547
202,0.723934,2.043685,0.6581,0.010969,-0.675842
203,0.739157,2.342604,0.730751,0.016038,-1.216213
204,0.728905,2.356146,0.724688,0.013026,-0.923027
205,0.735104,2.219103,0.707092,0.013778,-1.177379
206,0.726554,2.050419,0.664244,0.011239,-0.629116
207,0.716707,2.688576,0.764348,0.012473,-0.650094
208,0.728364,2.506595,0.750549,0.013826,-0.98344
209,0.726809,1.923262,0.640843,0.010872,-0.653797
210,0.730129,2.336315,0.723071,0.013206,-1.03725
211,0.733945,2.363956,0.731173,0.014436,-1.201575
212,0.722549,2.291497,0.701796,0.011623,-0.640945
213,0.734027,2.011672,0.669511,0.012266,-1.085239
214,0.734628,2.401525,0.737922,0.014943,-1.215322
215,0.721135,2.21482,0.684672,0.011232,-0.681909
216,0.728078,2.283656,0.709957,0.012465,-0.775833
217,0.729189,2.209214,0.698148,0.012313,-0.831339
218,0.72499,2.134801,0.677281,0.011356,-0.634964
219,0.726638,2.61835,0.768738,0.014142,-0.900317
220,0.726904,2.353042,0.721319,0.012577,-0.723392
